Excavation Siglum;Excavation Numbers;Clemens 2001;Clemens 2001 type;Description;Genre;Object Type;Museum Number;Archive/General area;detail in general;Full TEO Findspot;Topographic Point;Find Depth;Associated Text;Script;Language;Size;KTU3;possible relevant (religious) genres;seal;note
RS;['.192[G]', '[Varia6]'];;;Tablet;;Tablet;;;;unknown;;;RS [Varia 6];;;;;;;
RS;['15.010'];PRAVDA;Literary;"Tablet, Logosyllabic Akkadian; Hurrian";;Tablet;Tartous 511;Royal Palace;Eastern archive;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;;RS 15.010;"Logosyllabic; Alphabetic";"Akkadian; Hurrian";100 x 57 x 26;;wisdom;;
RS;['[Varia1]'];;;Tablet;;Tablet;;;;;;;;;;;;;;
RS;['17.010'];PRAVDA;Literary;Tablet, Logosyllabic Sumerian;;Tablet;DO 4518;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 582 ? 0,80;582;0,8;RS 17.010;Logosyllabic;Sumerian;138 x 98 x 41;;wisdom;;
RS;['[Varia29]'];;;Tablet, Alphabetic Ugaritic;;Tablet;M8877;;;unknown;;;RS [Varia 29];Alphabetic;Ugaritic;37 x 37 x 17;;;;
RS;['17.080'];PRAVDA;Literary;Tablet, Logosyllabic Akkadian;;Tablet;DO 4559;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 991 ? 0,80;991;0,8;RS 17.080;Logosyllabic;Akkadian;153 x 88 x 37;;wisdom;;
RS;['22.341', '23.[744A]', '28.053A', '23.[744A]=28.053A'];;;"Tablet, Logosyllabic Akkadian; Sumerian";;Tablet;DO 5808, DO 6801;House of the Literary Tablets;;Ville Sud, Maison aux Textes Littéraires, p.t. 2574 ? 1,40 and Ville Sud, «RS 60 Tr. 124, 2178 ? 1,40»;;1,4;RS 22.341;Logosyllabic;"Akkadian; Sumerian";65 x 90 x 36, 87 x 111 x 34;;wisdom;;
RS;['22.439[B]'];PRAVDA;Literary;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of the Literary Tablets;;"Ville Sud, Maison aux Textes Littéraires, p.t. 2694; 2687";;;RS 22.439 [B];Logosyllabic;Akkadian;10 x 17 x 3;;wisdom;;
RS;['[Varia40]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Collection privée;;;unknown;;;RS [Varia 40];Alphabetic;Ugaritic;48 x 50 x 15;;;;
RS;['[Varia41]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Collection privée;;;unknown;;;RS [Varia 41];Alphabetic;Ugaritic;58 x 50 x 17;;;;
RS;['[Varia2]', 'No.21'];;;Seal;;Seal;AO 27.927;;;;;;;;;;;;seal;
RS;['11.773', '11.735'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3366 = A2784 + M3367 = A2786;Northwest of the tell;;Butte NW Tell «S.R. 2409, ? 2,85»;;;RS 11.735+;Alphabetic;Ugaritic;65 x 101 x 32 73 x 106 x 30;;;;
RS;['23.721', '23.494', '23.363', '23.721B', '23.034'];PRAVDA;Literary;Tablet, Logosyllabic Akkadian;;Tablet;DO 6106 + 6119 + 6137;House of the Literary Tablets;;Ville Sud, Maison aux Textes Littéraires, p.t. 2797 ? 2,20;2797;2,2;RS 23.034+;Logosyllabic;"Akkadian; Sumerian";135 x 100 x 28;;wisdom;;
RS;['16.370'];;;Tablet with seal impression;;Tablet;Damas s.n.;Debris;;Déblais;;;RS 16.370;Alphabetic;Ugaritic;35 x 17 x 19;;;seal;
